order,family,name,year,date1,date2,individuals
LEPIDOPTERA,ARCTIIDAE,Phragmatobia fuliginosa L.,1994,7/27/94,7/27/94,1
LEPIDOPTERA,ARCTIIDAE,Phragmatobia fuliginosa L.,1994,8/10/94,8/11/94,1
LEPIDOPTERA,ARCTIIDAE,Phragmatobia fuliginosa L.,1996,8/2/96,8/8/96,2
LEPIDOPTERA,ARCTIIDAE,Phragmatobia fuliginosa L.,1997,8/1/97,8/3/97,1
LEPIDOPTERA,ARCTIIDAE,Phragmatobia fuliginosa L.,1998,7/22/98,7/23/98,1
LEPIDOPTERA,ARCTIIDAE,Phragmatobia fuliginosa L.,1999,7/12/99,7/19/99,1
LEPIDOPTERA,ARCTIIDAE,Phragmatobia fuliginosa L.,1999,7/20/99,7/21/99,1
LEPIDOPTERA,ARCTIIDAE,Phragmatobia fuliginosa L.,2000,7/21/00,7/24/00,1
LEPIDOPTERA,ARCTIIDAE,Phragmatobia fuliginosa L.,2001,8/3/01,8/6/01,1
LEPIDOPTERA,ARCTIIDAE,Phragmatobia fuliginosa L.,2002,7/8/02,7/11/02,1
LEPIDOPTERA,ARCTIIDAE,Phragmatobia fuliginosa L.,2002,7/12/02,7/15/02,1
LEPIDOPTERA,ARCTIIDAE,Phragmatobia fuliginosa L.,2002,7/18/02,7/28/02,7
LEPIDOPTERA,ARCTIIDAE,Phragmatobia fuliginosa L.,2002,8/1/02,8/4/02,2
LEPIDOPTERA,ARCTIIDAE,Phragmatobia fuliginosa L.,2003,7/15/03,7/20/03,1
LEPIDOPTERA,ARCTIIDAE,Phragmatobia fuliginosa L.,2003,7/25/03,7/31/03,1
LEPIDOPTERA,ARCTIIDAE,Phragmatobia fuliginosa L.,2003,8/1/03,8/8/03,1
LEPIDOPTERA,ARCTIIDAE,Phragmatobia fuliginosa L.,2004,8/2/04,8/3/04,1
LEPIDOPTERA,ARCTIIDAE,Phragmatobia fuliginosa L.,2004,8/6/04,8/8/04,2
LEPIDOPTERA,ARCTIIDAE,Phragmatobia fuliginosa L.,2005,7/8/05,7/10/05,1
LEPIDOPTERA,ARCTIIDAE,Phragmatobia fuliginosa L.,2005,7/18/05,7/19/05,1
LEPIDOPTERA,ARCTIIDAE,Phragmatobia fuliginosa L.,2005,7/27/05,7/29/05,1
LEPIDOPTERA,ARCTIIDAE,Phragmatobia fuliginosa L.,2006,7/14/06,7/20/06,1
LEPIDOPTERA,ARCTIIDAE,Phragmatobia fuliginosa L.,2006,7/21/06,7/27/06,1
LEPIDOPTERA,ARCTIIDAE,Phragmatobia fuliginosa L.,2007,7/19/07,7/25/07,1
LEPIDOPTERA,ARCTIIDAE,Phragmatobia fuliginosa L.,2008,7/3/08,7/8/08,1
LEPIDOPTERA,ARCTIIDAE,Phragmatobia fuliginosa L.,2008,7/11/08,7/23/08,5
LEPIDOPTERA,ARCTIIDAE,Phragmatobia fuliginosa L.,2008,7/29/08,8/3/08,1
LEPIDOPTERA,ARCTIIDAE,Phragmatobia fuliginosa L.,2008,8/4/08,8/7/08,1
LEPIDOPTERA,ARCTIIDAE,Phragmatobia fuliginosa L.,2009,7/21/09,7/27/09,1
LEPIDOPTERA,ARCTIIDAE,Phragmatobia fuliginosa L.,2009,7/28/09,8/2/09,1
LEPIDOPTERA,ARCTIIDAE,Phragmatobia fuliginosa L.,2009,8/10/09,8/16/09,1
LEPIDOPTERA,ARCTIIDAE,Spilosoma lubricipeda L.,1998,6/2/98,6/7/98,1
LEPIDOPTERA,ARCTIIDAE,Spilosoma lubricipeda L.,2006,6/1/06,6/8/06,1
LEPIDOPTERA,ARCTIIDAE,Spilosoma lutea Hfn.,1993,6/22/93,6/24/93,1
LEPIDOPTERA,ARCTIIDAE,Spilosoma lutea Hfn.,1997,6/24/97,6/30/97,1
LEPIDOPTERA,ARCTIIDAE,Spilosoma lutea Hfn.,2003,6/23/03,7/10/03,1
LEPIDOPTERA,ARCTIIDAE,Spilosoma lutea Hfn.,2003,8/19/03,8/28/03,1
LEPIDOPTERA,ARCTIIDAE,Spilosoma lutea Hfn.,2005,6/9/05,6/14/05,1
LEPIDOPTERA,ARCTIIDAE,Spilosoma urticae Esp.,2002,6/1/02,6/10/02,1
LEPIDOPTERA,ARCTIIDAE,Spilosoma urticae Esp.,2003,6/2/03,6/9/03,1
LEPIDOPTERA,ARCTIIDAE,Thumatha senex Hb.,1992,7/3/92,7/5/92,1
LEPIDOPTERA,ARCTIIDAE,Thumatha senex Hb.,1997,7/4/97,7/6/97,1
LEPIDOPTERA,ARCTIIDAE,Thumatha senex Hb.,1997,7/7/97,7/8/97,1
LEPIDOPTERA,AUTOSTICHIDAE,Oegoconia caradjai PG. & Cap.,2003,8/1/03,8/8/03,5
LEPIDOPTERA,AUTOSTICHIDAE,Oegoconia caradjai PG. & Cap.,2003,8/9/03,8/14/03,3
LEPIDOPTERA,AUTOSTICHIDAE,Oegoconia caradjai PG. & Cap.,2003,8/19/03,8/28/03,1
LEPIDOPTERA,AUTOSTICHIDAE,Oegoconia caradjai PG. & Cap.,2004,7/15/04,7/18/04,1
LEPIDOPTERA,AUTOSTICHIDAE,Oegoconia caradjai PG. & Cap.,2004,8/16/04,8/17/04,1
LEPIDOPTERA,AUTOSTICHIDAE,Oegoconia caradjai PG. & Cap.,2005,6/27/05,6/30/05,1
LEPIDOPTERA,AUTOSTICHIDAE,Oegoconia caradjai PG. & Cap.,2005,7/12/05,7/14/05,1
LEPIDOPTERA,AUTOSTICHIDAE,Oegoconia caradjai PG. & Cap.,2005,7/20/05,7/21/05,1
LEPIDOPTERA,AUTOSTICHIDAE,Oegoconia caradjai PG. & Cap.,2005,7/22/05,7/26/05,2
LEPIDOPTERA,AUTOSTICHIDAE,Oegoconia caradjai PG. & Cap.,2005,7/27/05,7/29/05,1
LEPIDOPTERA,AUTOSTICHIDAE,Oegoconia caradjai PG. & Cap.,2005,7/30/05,8/2/05,1
LEPIDOPTERA,AUTOSTICHIDAE,Oegoconia caradjai PG. & Cap.,2005,8/6/05,8/14/05,1
LEPIDOPTERA,AUTOSTICHIDAE,Oegoconia caradjai PG. & Cap.,2005,8/15/05,8/16/05,1
LEPIDOPTERA,AUTOSTICHIDAE,Oegoconia caradjai PG. & Cap.,2006,6/1/06,6/8/06,1
LEPIDOPTERA,AUTOSTICHIDAE,Oegoconia caradjai PG. & Cap.,2006,7/10/06,7/13/06,1
LEPIDOPTERA,AUTOSTICHIDAE,Oegoconia caradjai PG. & Cap.,2006,7/14/06,7/20/06,1
LEPIDOPTERA,AUTOSTICHIDAE,Oegoconia caradjai PG. & Cap.,2006,7/21/06,7/27/06,4
LEPIDOPTERA,AUTOSTICHIDAE,Oegoconia caradjai PG. & Cap.,2006,7/28/06,8/3/06,4
LEPIDOPTERA,AUTOSTICHIDAE,Oegoconia caradjai PG. & Cap.,2006,8/4/06,8/6/06,4
LEPIDOPTERA,AUTOSTICHIDAE,Oegoconia caradjai PG. & Cap.,2006,8/7/06,8/10/06,9
LEPIDOPTERA,AUTOSTICHIDAE,Oegoconia caradjai PG. & Cap.,2006,8/11/06,8/16/06,2
LEPIDOPTERA,AUTOSTICHIDAE,Oegoconia caradjai PG. & Cap.,2006,8/17/06,8/24/06,1
LEPIDOPTERA,AUTOSTICHIDAE,Oegoconia caradjai PG. & Cap.,2006,8/25/06,8/31/06,1
LEPIDOPTERA,AUTOSTICHIDAE,Oegoconia caradjai PG. & Cap.,2007,6/18/07,6/21/07,1
LEPIDOPTERA,AUTOSTICHIDAE,Oegoconia caradjai PG. & Cap.,2007,6/29/07,7/8/07,1
LEPIDOPTERA,AUTOSTICHIDAE,Oegoconia caradjai PG. & Cap.,2007,7/9/07,7/18/07,1
LEPIDOPTERA,AUTOSTICHIDAE,Oegoconia caradjai PG. & Cap.,2007,7/19/07,7/25/07,2
LEPIDOPTERA,AUTOSTICHIDAE,Oegoconia caradjai PG. & Cap.,2007,8/9/07,8/13/07,6
LEPIDOPTERA,AUTOSTICHIDAE,Oegoconia caradjai PG. & Cap.,2007,8/14/07,8/19/07,1
LEPIDOPTERA,AUTOSTICHIDAE,Oegoconia caradjai PG. & Cap.,2008,6/17/08,6/22/08,1
LEPIDOPTERA,AUTOSTICHIDAE,Oegoconia caradjai PG. & Cap.,2008,7/3/08,7/8/08,2
LEPIDOPTERA,AUTOSTICHIDAE,Oegoconia caradjai PG. & Cap.,2008,7/11/08,7/23/08,1
LEPIDOPTERA,AUTOSTICHIDAE,Oegoconia caradjai PG. & Cap.,2008,8/4/08,8/7/08,1
LEPIDOPTERA,AUTOSTICHIDAE,Oegoconia caradjai PG. & Cap.,2008,8/15/08,8/18/08,1
LEPIDOPTERA,AUTOSTICHIDAE,Oegoconia caradjai PG. & Cap.,2009,5/20/09,6/2/09,3
LEPIDOPTERA,AUTOSTICHIDAE,Oegoconia caradjai PG. & Cap.,2009,6/3/09,6/18/09,1
LEPIDOPTERA,AUTOSTICHIDAE,Oegoconia caradjai PG. & Cap.,2009,7/3/09,7/10/09,4
LEPIDOPTERA,AUTOSTICHIDAE,Oegoconia caradjai PG. & Cap.,2009,7/11/09,7/20/09,2
LEPIDOPTERA,AUTOSTICHIDAE,Oegoconia caradjai PG. & Cap.,2009,7/21/09,7/27/09,1
LEPIDOPTERA,AUTOSTICHIDAE,Oegoconia caradjai PG. & Cap.,2009,7/28/09,8/2/09,6
LEPIDOPTERA,AUTOSTICHIDAE,Oegoconia caradjai PG. & Cap.,2009,8/3/09,8/6/09,4
LEPIDOPTERA,AUTOSTICHIDAE,Oegoconia caradjai PG. & Cap.,2009,8/10/09,8/16/09,5
LEPIDOPTERA,AUTOSTICHIDAE,Oegoconia caradjai PG. & Cap.,2009,8/21/09,8/25/09,3
LEPIDOPTERA,AUTOSTICHIDAE,Oegoconia deauratella HS.,1995,8/1/95,8/1/95,1
LEPIDOPTERA,AUTOSTICHIDAE,Oegoconia deauratella HS.,1998,7/24/98,7/26/98,1
LEPIDOPTERA,AUTOSTICHIDAE,Oegoconia deauratella HS.,2000,8/4/00,8/13/00,1
LEPIDOPTERA,AUTOSTICHIDAE,Oegoconia deauratella HS.,2001,7/30/01,8/2/01,1
LEPIDOPTERA,BATRACHEDRIDAE,Batrachedra pinicolella Zell.,1992,7/3/92,7/5/92,1
LEPIDOPTERA,BATRACHEDRIDAE,Batrachedra pinicolella Zell.,1992,7/6/92,7/8/92,1
LEPIDOPTERA,BATRACHEDRIDAE,Batrachedra pinicolella Zell.,1992,7/10/92,7/12/92,1
LEPIDOPTERA,BATRACHEDRIDAE,Batrachedra pinicolella Zell.,1992,7/17/92,7/20/92,1
LEPIDOPTERA,BATRACHEDRIDAE,Batrachedra pinicolella Zell.,1993,6/28/93,6/30/93,2
LEPIDOPTERA,BATRACHEDRIDAE,Batrachedra pinicolella Zell.,1994,7/7/94,7/11/94,3
LEPIDOPTERA,BATRACHEDRIDAE,Batrachedra pinicolella Zell.,1994,7/12/94,7/14/94,2
LEPIDOPTERA,BATRACHEDRIDAE,Batrachedra pinicolella Zell.,1994,7/15/94,7/17/94,5
LEPIDOPTERA,BATRACHEDRIDAE,Batrachedra pinicolella Zell.,1994,7/18/94,7/19/94,1
LEPIDOPTERA,BATRACHEDRIDAE,Batrachedra pinicolella Zell.,1995,7/10/95,7/13/95,2
LEPIDOPTERA,BATRACHEDRIDAE,Batrachedra pinicolella Zell.,1995,7/14/95,7/17/95,4
LEPIDOPTERA,BATRACHEDRIDAE,Batrachedra pinicolella Zell.,1995,7/18/95,7/20/95,4
LEPIDOPTERA,BATRACHEDRIDAE,Batrachedra pinicolella Zell.,1995,7/21/95,7/21/95,2
LEPIDOPTERA,BATRACHEDRIDAE,Batrachedra pinicolella Zell.,1995,7/22/95,7/24/95,1
LEPIDOPTERA,BATRACHEDRIDAE,Batrachedra pinicolella Zell.,1996,7/12/96,7/17/96,1
LEPIDOPTERA,BATRACHEDRIDAE,Batrachedra pinicolella Zell.,1996,7/24/96,7/25/96,3
LEPIDOPTERA,BATRACHEDRIDAE,Batrachedra pinicolella Zell.,1996,7/30/96,8/1/96,1
LEPIDOPTERA,BATRACHEDRIDAE,Batrachedra pinicolella Zell.,1997,7/4/97,7/6/97,1
LEPIDOPTERA,BATRACHEDRIDAE,Batrachedra pinicolella Zell.,1997,7/7/97,7/8/97,2
LEPIDOPTERA,BATRACHEDRIDAE,Batrachedra pinicolella Zell.,1997,7/9/97,7/10/97,3
LEPIDOPTERA,BATRACHEDRIDAE,Batrachedra pinicolella Zell.,1997,7/16/97,7/20/97,1
LEPIDOPTERA,BATRACHEDRIDAE,Batrachedra pinicolella Zell.,1997,7/21/97,7/21/97,1
LEPIDOPTERA,BATRACHEDRIDAE,Batrachedra pinicolella Zell.,1997,7/22/97,7/23/97,2
LEPIDOPTERA,BATRACHEDRIDAE,Batrachedra pinicolella Zell.,1998,7/9/98,7/12/98,3
LEPIDOPTERA,BATRACHEDRIDAE,Batrachedra pinicolella Zell.,1998,7/22/98,7/23/98,2
LEPIDOPTERA,BATRACHEDRIDAE,Batrachedra pinicolella Zell.,1998,9/1/98,9/10/98,1
LEPIDOPTERA,BATRACHEDRIDAE,Batrachedra pinicolella Zell.,1999,6/30/99,7/1/99,2
LEPIDOPTERA,BATRACHEDRIDAE,Batrachedra pinicolella Zell.,1999,7/2/99,7/4/99,1
LEPIDOPTERA,BATRACHEDRIDAE,Batrachedra pinicolella Zell.,1999,7/7/99,7/8/99,1
LEPIDOPTERA,BATRACHEDRIDAE,Batrachedra pinicolella Zell.,1999,7/9/99,7/11/99,1
LEPIDOPTERA,BATRACHEDRIDAE,Batrachedra pinicolella Zell.,1999,7/12/99,7/19/99,1
LEPIDOPTERA,BATRACHEDRIDAE,Batrachedra pinicolella Zell.,1999,7/20/99,7/21/99,1
LEPIDOPTERA,BATRACHEDRIDAE,Batrachedra pinicolella Zell.,2000,6/16/00,6/21/00,2
LEPIDOPTERA,BATRACHEDRIDAE,Batrachedra pinicolella Zell.,2000,7/12/00,7/18/00,2
LEPIDOPTERA,BATRACHEDRIDAE,Batrachedra pinicolella Zell.,2000,7/21/00,7/24/00,3
LEPIDOPTERA,BATRACHEDRIDAE,Batrachedra pinicolella Zell.,2001,6/28/01,7/1/01,1
LEPIDOPTERA,BATRACHEDRIDAE,Batrachedra pinicolella Zell.,2001,7/4/01,7/8/01,2
LEPIDOPTERA,BATRACHEDRIDAE,Batrachedra pinicolella Zell.,2001,7/20/01,7/23/01,1
LEPIDOPTERA,BATRACHEDRIDAE,Batrachedra pinicolella Zell.,2001,7/24/01,7/25/01,1
LEPIDOPTERA,BATRACHEDRIDAE,Batrachedra pinicolella Zell.,2001,7/26/01,7/29/01,1
LEPIDOPTERA,BATRACHEDRIDAE,Batrachedra pinicolella Zell.,2002,7/4/02,7/7/02,1
LEPIDOPTERA,BATRACHEDRIDAE,Batrachedra pinicolella Zell.,2002,7/8/02,7/11/02,2
LEPIDOPTERA,BATRACHEDRIDAE,Batrachedra pinicolella Zell.,2002,7/12/02,7/15/02,1
LEPIDOPTERA,BATRACHEDRIDAE,Batrachedra pinicolella Zell.,2003,6/16/03,6/22/03,1
LEPIDOPTERA,BATRACHEDRIDAE,Batrachedra pinicolella Zell.,2003,6/23/03,7/10/03,3
LEPIDOPTERA,BATRACHEDRIDAE,Batrachedra pinicolella Zell.,2003,7/11/03,7/14/03,2
LEPIDOPTERA,BATRACHEDRIDAE,Batrachedra pinicolella Zell.,2004,7/15/04,7/18/04,3
LEPIDOPTERA,BATRACHEDRIDAE,Batrachedra pinicolella Zell.,2004,7/22/04,7/25/04,2
LEPIDOPTERA,BATRACHEDRIDAE,Batrachedra pinicolella Zell.,2004,7/30/04,8/1/04,3
LEPIDOPTERA,BATRACHEDRIDAE,Batrachedra pinicolella Zell.,2004,8/18/04,8/22/04,1
LEPIDOPTERA,BATRACHEDRIDAE,Batrachedra pinicolella Zell.,2005,7/7/05,7/7/05,2
LEPIDOPTERA,BATRACHEDRIDAE,Batrachedra pinicolella Zell.,2005,7/8/05,7/10/05,9
LEPIDOPTERA,BATRACHEDRIDAE,Batrachedra pinicolella Zell.,2005,7/11/05,7/11/05,2
LEPIDOPTERA,BATRACHEDRIDAE,Batrachedra pinicolella Zell.,2005,7/12/05,7/14/05,8
LEPIDOPTERA,BATRACHEDRIDAE,Batrachedra pinicolella Zell.,2005,7/15/05,7/17/05,2
LEPIDOPTERA,BATRACHEDRIDAE,Batrachedra pinicolella Zell.,2006,7/7/06,7/9/06,7
LEPIDOPTERA,BATRACHEDRIDAE,Batrachedra pinicolella Zell.,2006,7/10/06,7/13/06,2
LEPIDOPTERA,BATRACHEDRIDAE,Batrachedra pinicolella Zell.,2006,7/14/06,7/20/06,3
LEPIDOPTERA,BATRACHEDRIDAE,Batrachedra pinicolella Zell.,2007,6/11/07,6/12/07,1
LEPIDOPTERA,BATRACHEDRIDAE,Batrachedra pinicolella Zell.,2007,6/13/07,6/17/07,1
LEPIDOPTERA,BATRACHEDRIDAE,Batrachedra pinicolella Zell.,2007,6/18/07,6/21/07,1
LEPIDOPTERA,BATRACHEDRIDAE,Batrachedra pinicolella Zell.,2008,6/17/08,6/22/08,1
LEPIDOPTERA,BATRACHEDRIDAE,Batrachedra pinicolella Zell.,2008,6/26/08,7/2/08,1
LEPIDOPTERA,BATRACHEDRIDAE,Batrachedra pinicolella Zell.,2008,7/3/08,7/8/08,6
LEPIDOPTERA,BATRACHEDRIDAE,Batrachedra pinicolella Zell.,2008,7/9/08,7/10/08,1
LEPIDOPTERA,BATRACHEDRIDAE,Batrachedra pinicolella Zell.,2008,7/11/08,7/23/08,1
LEPIDOPTERA,BATRACHEDRIDAE,Batrachedra pinicolella Zell.,2008,7/24/08,7/28/08,1
LEPIDOPTERA,BATRACHEDRIDAE,Batrachedra pinicolella Zell.,2009,6/29/09,6/29/09,1
LEPIDOPTERA,BATRACHEDRIDAE,Batrachedra pinicolella Zell.,2009,6/30/09,7/2/09,6
LEPIDOPTERA,BATRACHEDRIDAE,Batrachedra pinicolella Zell.,2009,7/3/09,7/10/09,7
LEPIDOPTERA,BATRACHEDRIDAE,Batrachedra pinicolella Zell.,2009,7/11/09,7/20/09,4
LEPIDOPTERA,BATRACHEDRIDAE,Batrachedra pinicolella Zell.,2009,8/3/09,8/6/09,1
LEPIDOPTERA,BATRACHEDRIDAE,Batrachedra pinicolella Zell.,2009,8/21/09,8/25/09,1
LEPIDOPTERA,BATRACHEDRIDAE,Batrachedra praeangusta Hw.,1992,7/10/92,7/12/92,1
LEPIDOPTERA,BATRACHEDRIDAE,Batrachedra praeangusta Hw.,1992,7/13/92,7/16/92,2
LEPIDOPTERA,BATRACHEDRIDAE,Batrachedra praeangusta Hw.,1992,7/17/92,7/20/92,1
LEPIDOPTERA,BATRACHEDRIDAE,Batrachedra praeangusta Hw.,1992,7/21/92,7/23/92,2
LEPIDOPTERA,BATRACHEDRIDAE,Batrachedra praeangusta Hw.,1992,7/24/92,7/28/92,4
LEPIDOPTERA,BATRACHEDRIDAE,Batrachedra praeangusta Hw.,1992,7/29/92,8/2/92,3
LEPIDOPTERA,BATRACHEDRIDAE,Batrachedra praeangusta Hw.,1992,8/3/92,8/5/92,2
LEPIDOPTERA,BATRACHEDRIDAE,Batrachedra praeangusta Hw.,1992,8/24/92,8/27/92,1
LEPIDOPTERA,BATRACHEDRIDAE,Batrachedra praeangusta Hw.,1992,8/28/92,8/31/92,1
LEPIDOPTERA,BATRACHEDRIDAE,Batrachedra praeangusta Hw.,1992,9/7/92,9/13/92,1
LEPIDOPTERA,BATRACHEDRIDAE,Batrachedra praeangusta Hw.,1993,8/26/93,8/31/93,2
LEPIDOPTERA,BATRACHEDRIDAE,Batrachedra praeangusta Hw.,1993,9/6/93,9/15/93,1
LEPIDOPTERA,BATRACHEDRIDAE,Batrachedra praeangusta Hw.,1994,7/18/94,7/19/94,1
LEPIDOPTERA,BATRACHEDRIDAE,Batrachedra praeangusta Hw.,1994,7/20/94,7/21/94,1
LEPIDOPTERA,BATRACHEDRIDAE,Batrachedra praeangusta Hw.,1994,7/22/94,7/24/94,5
LEPIDOPTERA,BATRACHEDRIDAE,Batrachedra praeangusta Hw.,1994,7/25/94,7/26/94,2
LEPIDOPTERA,BATRACHEDRIDAE,Batrachedra praeangusta Hw.,1994,7/27/94,7/27/94,6
LEPIDOPTERA,BATRACHEDRIDAE,Batrachedra praeangusta Hw.,1994,7/28/94,7/28/94,2
LEPIDOPTERA,BATRACHEDRIDAE,Batrachedra praeangusta Hw.,1994,7/29/94,7/31/94,11
LEPIDOPTERA,BATRACHEDRIDAE,Batrachedra praeangusta Hw.,1994,8/2/94,8/4/94,10
LEPIDOPTERA,BATRACHEDRIDAE,Batrachedra praeangusta Hw.,1994,8/5/94,8/7/94,12
LEPIDOPTERA,BATRACHEDRIDAE,Batrachedra praeangusta Hw.,1994,8/8/94,8/9/94,5
LEPIDOPTERA,BATRACHEDRIDAE,Batrachedra praeangusta Hw.,1994,8/10/94,8/11/94,1
LEPIDOPTERA,BATRACHEDRIDAE,Batrachedra praeangusta Hw.,1994,8/12/94,8/21/94,7
LEPIDOPTERA,BATRACHEDRIDAE,Batrachedra praeangusta Hw.,1994,8/22/94,8/25/94,1
LEPIDOPTERA,BATRACHEDRIDAE,Batrachedra praeangusta Hw.,1995,7/18/95,7/20/95,2
LEPIDOPTERA,BATRACHEDRIDAE,Batrachedra praeangusta Hw.,1995,7/22/95,7/24/95,2
LEPIDOPTERA,BATRACHEDRIDAE,Batrachedra praeangusta Hw.,1995,7/30/95,7/30/95,3
LEPIDOPTERA,BATRACHEDRIDAE,Batrachedra praeangusta Hw.,1995,8/1/95,8/1/95,1
LEPIDOPTERA,BATRACHEDRIDAE,Batrachedra praeangusta Hw.,1995,8/2/95,8/2/95,6
LEPIDOPTERA,BATRACHEDRIDAE,Batrachedra praeangusta Hw.,1995,8/3/95,8/3/95,5
LEPIDOPTERA,BATRACHEDRIDAE,Batrachedra praeangusta Hw.,1995,8/4/95,8/5/95,2
LEPIDOPTERA,BATRACHEDRIDAE,Batrachedra praeangusta Hw.,1995,8/6/95,8/6/95,4
LEPIDOPTERA,BATRACHEDRIDAE,Batrachedra praeangusta Hw.,1995,8/7/95,8/7/95,2
LEPIDOPTERA,BATRACHEDRIDAE,Batrachedra praeangusta Hw.,1995,8/8/95,8/9/95,13
LEPIDOPTERA,BATRACHEDRIDAE,Batrachedra praeangusta Hw.,1995,8/10/95,8/13/95,8
LEPIDOPTERA,BATRACHEDRIDAE,Batrachedra praeangusta Hw.,1995,8/14/95,8/16/95,10
LEPIDOPTERA,BATRACHEDRIDAE,Batrachedra praeangusta Hw.,1995,8/17/95,8/17/95,9
LEPIDOPTERA,BATRACHEDRIDAE,Batrachedra praeangusta Hw.,1995,8/18/95,8/18/95,3
LEPIDOPTERA,BATRACHEDRIDAE,Batrachedra praeangusta Hw.,1995,8/19/95,8/20/95,11
LEPIDOPTERA,BATRACHEDRIDAE,Batrachedra praeangusta Hw.,1995,8/21/95,8/23/95,1
LEPIDOPTERA,BATRACHEDRIDAE,Batrachedra praeangusta Hw.,1995,9/1/95,9/12/95,1
LEPIDOPTERA,BATRACHEDRIDAE,Batrachedra praeangusta Hw.,1996,7/12/96,7/17/96,1
LEPIDOPTERA,BATRACHEDRIDAE,Batrachedra praeangusta Hw.,1996,7/18/96,7/23/96,2
LEPIDOPTERA,BATRACHEDRIDAE,Batrachedra praeangusta Hw.,1996,7/24/96,7/25/96,3
LEPIDOPTERA,BATRACHEDRIDAE,Batrachedra praeangusta Hw.,1996,7/26/96,7/29/96,2
LEPIDOPTERA,BATRACHEDRIDAE,Batrachedra praeangusta Hw.,1996,7/30/96,8/1/96,1
LEPIDOPTERA,BATRACHEDRIDAE,Batrachedra praeangusta Hw.,1996,8/2/96,8/8/96,4
LEPIDOPTERA,BATRACHEDRIDAE,Batrachedra praeangusta Hw.,1996,8/14/96,8/15/96,4
LEPIDOPTERA,BATRACHEDRIDAE,Batrachedra praeangusta Hw.,1996,8/16/96,8/18/96,12
LEPIDOPTERA,BATRACHEDRIDAE,Batrachedra praeangusta Hw.,1996,8/19/96,8/20/96,1
LEPIDOPTERA,BATRACHEDRIDAE,Batrachedra praeangusta Hw.,1996,9/3/96,9/9/96,1
LEPIDOPTERA,BATRACHEDRIDAE,Batrachedra praeangusta Hw.,1997,7/25/97,7/27/97,1
LEPIDOPTERA,BATRACHEDRIDAE,Batrachedra praeangusta Hw.,1997,8/8/97,8/13/97,4
LEPIDOPTERA,BATRACHEDRIDAE,Batrachedra praeangusta Hw.,1997,8/14/97,8/17/97,11
LEPIDOPTERA,BATRACHEDRIDAE,Batrachedra praeangusta Hw.,1997,8/18/97,8/21/97,2
LEPIDOPTERA,BATRACHEDRIDAE,Batrachedra praeangusta Hw.,1997,8/25/97,8/31/97,1
LEPIDOPTERA,BATRACHEDRIDAE,Batrachedra praeangusta Hw.,1998,7/22/98,7/23/98,1
LEPIDOPTERA,BATRACHEDRIDAE,Batrachedra praeangusta Hw.,1998,7/24/98,7/26/98,1
LEPIDOPTERA,BATRACHEDRIDAE,Batrachedra praeangusta Hw.,1998,8/7/98,8/11/98,1
LEPIDOPTERA,BATRACHEDRIDAE,Batrachedra praeangusta Hw.,1998,8/12/98,8/13/98,1
LEPIDOPTERA,BATRACHEDRIDAE,Batrachedra praeangusta Hw.,1998,8/14/98,8/18/98,7
LEPIDOPTERA,BATRACHEDRIDAE,Batrachedra praeangusta Hw.,1998,8/19/98,8/20/98,1
LEPIDOPTERA,BATRACHEDRIDAE,Batrachedra praeangusta Hw.,1998,8/21/98,8/23/98,1
LEPIDOPTERA,BATRACHEDRIDAE,Batrachedra praeangusta Hw.,1998,8/28/98,8/31/98,1
LEPIDOPTERA,BATRACHEDRIDAE,Batrachedra praeangusta Hw.,1998,9/11/98,9/17/98,1
LEPIDOPTERA,BATRACHEDRIDAE,Batrachedra praeangusta Hw.,1999,7/12/99,7/19/99,2
LEPIDOPTERA,BATRACHEDRIDAE,Batrachedra praeangusta Hw.,1999,8/4/99,8/5/99,1
LEPIDOPTERA,BATRACHEDRIDAE,Batrachedra praeangusta Hw.,1999,8/9/99,8/10/99,6
LEPIDOPTERA,BATRACHEDRIDAE,Batrachedra praeangusta Hw.,1999,8/13/99,8/15/99,1
LEPIDOPTERA,BATRACHEDRIDAE,Batrachedra praeangusta Hw.,1999,8/27/99,8/29/99,5
LEPIDOPTERA,BATRACHEDRIDAE,Batrachedra praeangusta Hw.,2000,7/19/00,7/20/00,1
LEPIDOPTERA,BATRACHEDRIDAE,Batrachedra praeangusta Hw.,2000,7/28/00,7/30/00,1
LEPIDOPTERA,BATRACHEDRIDAE,Batrachedra praeangusta Hw.,2000,8/4/00,8/13/00,6
LEPIDOPTERA,BATRACHEDRIDAE,Batrachedra praeangusta Hw.,2000,8/14/00,8/20/00,1
LEPIDOPTERA,BATRACHEDRIDAE,Batrachedra praeangusta Hw.,2000,8/25/00,8/28/00,1
LEPIDOPTERA,BATRACHEDRIDAE,Batrachedra praeangusta Hw.,2000,8/29/00,8/31/00,2
LEPIDOPTERA,BATRACHEDRIDAE,Batrachedra praeangusta Hw.,2000,9/1/00,9/26/00,1
LEPIDOPTERA,BATRACHEDRIDAE,Batrachedra praeangusta Hw.,2001,7/2/01,7/3/01,1
LEPIDOPTERA,BATRACHEDRIDAE,Batrachedra praeangusta Hw.,2001,7/9/01,7/12/01,1
LEPIDOPTERA,BATRACHEDRIDAE,Batrachedra praeangusta Hw.,2001,7/17/01,7/19/01,1
LEPIDOPTERA,BATRACHEDRIDAE,Batrachedra praeangusta Hw.,2001,7/20/01,7/23/01,5
